- towplane, tail-number
- (leading tab) release altitude, cost
SSC Pawnee	N90866
	0	22.00
	100	22.00
	200	22.00
	300	22.00
	400	22.00
	500	22.00
	600	22.00
	700	22.00
	800	22.00
	900	22.00
	1000	22.00
	1100	22.50
	1200	23.00
	1300	23.50
	1400	24.00
	1500	24.50
	1600	25.00
	1700	25.50
	1800	26.00
	1900	26.50
	2000	27.00
	2100	27.50
	2200	28.00
	2300	28.50
	2400	29.00
	2500	29.50
	2600	30.00
	2700	30.50
	2800	31.00
	2900	31.50
	3000	32.00
	3100	32.50
	3200	33.00
	3300	33.50
	3400	34.00
	3500	34.50
	3600	35.00
	3700	35.50
	3800	36.00
	3900	36.50
	4000	37.00
	4100	37.50
	4200	38.00
	4300	38.50
	4400	39.00
	4500	39.50
	4600	40.00
	4700	40.50
	4800	41.00
	4900	41.50
	5000	42.00
	5100	42.50
	5200	43.00
	5300	43.50
	5400	44.00
	5500	44.50
	5600	45.00
	5700	45.50
	5800	46.00
	5900	46.50
	6000	47.00
	6100	47.50
	6200	48.00
	6300	48.50
	6400	49.00
	6500	49.50
	6600	50.00
	6700	50.50
	6800	51.00
	6900	51.50
	7000	52.00
	7100	52.50
	7200	53.00
	7300	53.50
	7400	54.00
	7500	54.50
	7600	55.00
	7700	55.50
	7800	56.00
	7900	56.50
	8000	57.00
	8100	57.50
	8200	58.00
	8300	58.50
	8400	59.00
	8500	59.50
	8600	60.00
	8700	60.50
	8800	61.00
	8900	61.50
	9000	62.00
	9100	62.50
	9200	63.00
	9300	63.50
	9400	64.00
	9500	64.50
	9600	65.00
	9700	65.50
	9800	66.00
	9900	66.50
SSC Husky	N6085S
	0	22.00
	100	22.00
	200	22.00
	300	22.00
	400	22.00
	500	22.00
	600	22.00
	700	22.00
	800	22.00
	900	22.00
	1000	22.00
	1100	22.50
	1200	23.00
	1300	23.50
	1400	24.00
	1500	24.50
	1600	25.00
	1700	25.50
	1800	26.00
	1900	26.50
	2000	27.00
	2100	27.50
	2200	28.00
	2300	28.50
	2400	29.00
	2500	29.50
	2600	30.00
	2700	30.50
	2800	31.00
	2900	31.50
	3000	32.00
	3100	32.50
	3200	33.00
	3300	33.50
	3400	34.00
	3500	34.50
	3600	35.00
	3700	35.50
	3800	36.00
	3900	36.50
	4000	37.00
	4100	37.50
	4200	38.00
	4300	38.50
	4400	39.00
	4500	39.50
	4600	40.00
	4700	40.50
	4800	41.00
	4900	41.50
	5000	42.00
	5100	42.50
	5200	43.00
	5300	43.50
	5400	44.00
	5500	44.50
	5600	45.00
	5700	45.50
	5800	46.00
	5900	46.50
	6000	47.00
	6100	47.50
	6200	48.00
	6300	48.50
	6400	49.00
	6500	49.50
	6600	50.00
	6700	50.50
	6800	51.00
	6900	51.50
	7000	52.00
	7100	52.50
	7200	53.00
	7300	53.50
	7400	54.00
	7500	54.50
	7600	55.00
	7700	55.50
	7800	56.00
	7900	56.50
	8000	57.00
	8100	57.50
	8200	58.00
	8300	58.50
	8400	59.00
	8500	59.50
	8600	60.00
	8700	60.50
	8800	61.00
	8900	61.50
	9000	62.00
	9100	62.50
	9200	63.00
	9300	63.50
	9400	64.00
	9500	64.50
	9600	65.00
	9700	65.50
	9800	66.00
	9900	66.50
M-ASA Super Cub
	0	10.00
	100	20.00
	200	20.00
	300	20.00
	400	20.00
	500	20.00
	600	20.00
	700	20.00
	800	20.00
	900	20.00
	1000	20.00
	1100	30.00
	1200	30.00
	1300	30.00
	1400	30.00
	1500	30.00
	1600	30.00
	1700	30.00
	1800	30.00
	1900	30.00
	2000	30.00
	2100	31.00
	2200	32.00
	2300	33.00
	2400	34.00
	2500	35.00
	2600	36.00
	2700	37.00
	2800	38.00
	2900	39.00
	3000	40.00
	3100	41.00
	3200	42.00
	3300	43.00
	3400	44.00
	3500	45.00
	3600	46.00
	3700	47.00
	3800	48.00
	3900	49.00
	4000	50.00
	4100	51.00
	4200	52.00
	4300	53.00
	4400	54.00
	4500	55.00
	4600	56.00
	4700	57.00
	4800	58.00
	4900	59.00
	5000	60.00
	5100	61.00
	5200	62.00
	5300	63.00
	5400	64.00
	5500	65.00
	5600	66.00
	5700	67.00
	5800	68.00
	5900	69.00
	6000	70.00
	6100	71.00
	6200	72.00
	6300	73.00
	6400	74.00
	6500	75.00
	6600	76.00
	6700	77.00
	6800	78.00
	6900	79.00
	7000	80.00
	7100	81.00
	7200	82.00
	7300	83.00
	7400	84.00
	7500	85.00
	7600	86.00
	7700	87.00
	7800	88.00
	7900	89.00
	8000	90.00
	8100	91.00
	8200	92.00
	8300	93.00
	8400	94.00
	8500	95.00
	8600	96.00
	8700	97.00
	8800	98.00
	8900	99.00
	9000	100.00
	9100	101.00
	9200	102.00
	9300	103.00
	9400	104.00
	9500	105.00
	9600	106.00
	9700	107.00
	9800	108.00
	9900	109.00
Stahl Towplane
	0	25.00
	100	25.00
	200	25.00
	300	25.00
	400	25.00
	500	25.00
	600	25.00
	700	25.00
	800	25.00
	900	25.00
	1000	25.00
	1100	35.00
	1200	35.00
	1300	35.00
	1400	35.00
	1500	35.00
	1600	35.00
	1700	35.00
	1800	35.00
	1900	35.00
	2000	35.00
	2100	45.00
	2200	45.00
	2300	45.00
	2400	45.00
	2500	45.00
	2600	45.00
	2700	45.00
	2800	45.00
	2900	45.00
	3000	45.00
	3100	55.00
	3200	55.00
	3300	55.00
	3400	55.00
	3500	55.00
	3600	55.00
	3700	55.00
	3800	55.00
	3900	55.00
	4000	55.00
	4100	65.00
	4200	65.00
	4300	65.00
	4400	65.00
	4500	65.00
	4600	65.00
	4700	65.00
	4800	65.00
	4900	65.00
	5000	65.00
	5100	75.00
	5200	75.00
	5300	75.00
	5400	75.00
	5500	75.00
	5600	75.00
	5700	75.00
	5800	75.00
	5900	75.00
	6000	75.00
	6100	85.00
	6200	85.00
	6300	85.00
	6400	85.00
	6500	85.00
	6600	85.00
	6700	85.00
	6800	85.00
	6900	85.00
	7000	85.00
	7100	95.00
	7200	95.00
	7300	95.00
	7400	95.00
	7500	95.00
	7600	95.00
	7700	95.00
	7800	95.00
	7900	95.00
	8000	95.00
	8100	105.00
	8200	105.00
	8300	105.00
	8400	105.00
	8500	105.00
	8600	105.00
	8700	105.00
	8800	105.00
	8900	105.00
	9000	105.00
	9100	115.00
	9200	115.00
	9300	115.00
	9400	115.00
	9500	115.00
	9600	115.00
	9700	115.00
	9800	115.00
	9900	115.00
